% Model:              wire_with_a_probes.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jun 24 2025, 10:30
% Dimension:          1
% Nodes:              505
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Temperature
0.009263655481704946      2784.375437979071
0.009563152625323338      2787.043854373517
0.009862649768941733      2789.2820477954137
0.010162146912560127      2791.09001824476
0.010461644056178521      2792.467765721557
0.010761141199796917      2793.46175946008
0.011060638343415311      2794.3399083625827
0.011360135487033705      2795.1022124290653
0.011659632630652098      2795.748671659527
0.011959129774270494      2796.27928605397
0.012258626917888888      2796.694055612392
0.012558124061507284      2796.9842708984474
0.012857621205125676      2797.2423988797555
0.01315711834874407       2797.4684395563154
0.013456615492362465      2797.6623929281272
0.01375611263598086       2797.8242589951915
0.014055609779599255      2797.954037757507
0.014355106923217648      2798.0280838299996
0.014654604066836042      2798.092247652353
0.014954101210454436      2798.1465292245675
0.015253598354072829      2798.1909285466427
0.015553095497691221      2798.225445618579
0.015852592641309615      2798.250080440377
0.01615208978492801       2798.2365416930843
0.016451586928546404      2798.211205634395
0.016751084072164798      2798.1740722643094
0.017050581215783192      2798.1251415828274
0.017350078359401586      2798.0644135899493
0.01764957550301998       2797.991888285675
0.017936484114573253      2797.8860603509243
0.018223392726126525      2797.73422913301
0.018510301337679794      2797.536394631933
0.01879720994923307       2797.2925568476926
0.019084118560786338      2797.002715780289
0.01937102717233961       2796.6668714297216
0.019616243285354613      2796.346788729502
0.019861459398369617      2795.902006004067
0.020106675511384616      2795.332523253417
0.02035189162439962       2794.638340477552
0.02059710773741462       2793.8194576764718
0.020842323850429622      2792.8758748501764
0.021033470288730025      2792.0765888740316
0.02122461672703043       2791.1465038547562
0.021415763165330833      2790.085619792351
0.021606909603631236      2788.8939366868153
0.021798056041931642      2787.5714545381497
0.021989202480232044      2786.118173346354
0.02213815464351752       2784.765996760862
0.022287106806802993      2783.2455611401015
0.022436058970088463      2781.556866484073
0.02258501113337394       2779.699912792776
0.02273396329665941       2777.6747000662112
0.022882915459944884      2775.4812283043784
0.02299618253030663       2773.6016501281915
0.023109449600668366      2771.5270997644575
0.02322271667103011       2769.257577213176
0.02333598374139185       2766.793082474347
0.02344925081175359       2764.133615547972
0.023562517882115334      2761.2791764340495
0.023643185598979894      2759.1373523513016
0.023723853315844458      2756.8510863353818
0.023804521032709018      2754.4203783862913
0.02388518874957358       2751.8452285040294
0.02396585646643814       2749.1256366885973
0.024046524183302703      2746.2616029399937
0.02410379206110974       2744.140475575476
0.024161059938916776      2741.927665104799
0.02421832781672381       2739.623171527962
0.024275595694530847      2737.2269948449652
0.024332863572337885      2734.739135055809
0.02439013145014492       2732.159592160494
0.024430787241036193      2730.2644459657067
0.024471443031927463      2728.312843860129
0.024512098822818733      2726.3047858437617
0.024552754613710003      2724.2402719166034
0.024593410404601272      2722.119302078656
0.024634066195492545      2719.941876329918
0.024662928681694042      2718.3621141733274
0.024691791167895542      2716.7490378195344
0.02472065365409704       2715.102647268539
0.024749516140298536      2713.422942520342
0.024778378626500036      2711.709923574944
0.024807241112701533      2709.963590432343
0.02482933083132658       2708.568077588405
0.024851420549951632      2707.211325127962
0.024873510268576676      2705.8933330510154
0.024895599987201728      2704.614101357564
0.024917689705826775      2703.3736300476085
0.024939779424451823      2702.171919121149
0.024968242221735118      2701.1170698220435
0.02499670501901841       2700.670191518803
0.0250251678163017        2700.8312842114296
0.025053630613584992      2701.600347899922
0.025082093410868287      2702.977382584281
0.02511055620815158       2704.9623882645055
0.025150648995947184      2707.4197859248848
0.02519074178374278       2709.8374871352926
0.025230834571538383      2712.215491895729
0.025270927359333985      2714.5538002061944
0.02531102014712959       2716.852412066688
0.025351112934925188      2719.111327477211
0.025407587764760934      2722.1387133418802
0.025464062594596677      2725.0644899378094
0.025520537424432423      2727.888657264999
0.025577012254268165      2730.611215323449
0.025633487084103908      2733.23216411316
0.025689961913939654      2735.751503634131
0.02576951254088124       2739.101585368793
0.025849063167822827      2742.2976854557446
0.02592861379476441       2745.3398038949854
0.026008164421705997      2748.227940686516
0.026087715048647583      2750.962095830336
0.02616726567558917       2753.542269326445
0.026279071906986095      2756.8270931114566
0.026390878138383023      2759.9169479752363
0.02650268436977995       2762.8118339177845
0.02661449060117687       2765.511750939101
0.026726296832573798      2768.0166990391863
0.026838103063970723      2770.32667821804
0.026985552235259946      2772.958757862371
0.027133001406549166      2775.4052212495685
0.027280450577838386      2777.666068379633
0.027427899749127606      2779.7412992525637
0.027575348920416833      2781.630913868361
0.027722798091706052      2783.3349122270242
0.027912010584297837      2785.287799056241
0.028101223076889618      2787.021378450439
0.028290435569481402      2788.535650409618
0.028479648062073183      2789.830614933778
0.028668860554664964      2790.9062720229203
0.02885807304725675       2791.7626216770436
0.029100905228211862      2792.8084580832115
0.029343737409166973      2793.729492690731
0.029586569590122087      2794.5257254996045
0.0298294017710772        2795.19715650983
0.03007223395203231       2795.743785721409
0.030315066132987425      2796.165613134341
0.030600919855800147      2796.587591064186
0.030886773578612872      2796.957741638572
0.031172627301425594      2797.276064857498
0.031458481024238316      2797.5425607209654
0.031744334747051045      2797.7572292289733
0.03203018846986377       2797.920070381522
0.03232968276565431       2798.0307674613105
0.03262917706144485       2798.1315081965345
0.032928671357235394      2798.2222925871934
0.033228165653025936      2798.3031206332876
0.03352765994881648       2798.3739923348176
0.03382715424460702       2798.4349076917824
0.03412665138822542       2798.4507876082803
0.03442614853184381       2798.469489759818
0.0347256456754622        2798.491014146395
0.03502514281908059       2798.5153607680118
0.03532463996269898       2798.5425296246685
0.03562413710631738       2798.572520716364
0.035923634249935776      2798.5730447370674
0.036223131393554174      2798.575309852853
0.036522628537172565      2798.579316063721
0.03682212568079096       2798.5850633696714
0.03712162282440935       2798.5925517707037
0.03742111996802775       2798.601781266819
0.03772061711164615       2798.600025473401
0.03802011425526454       2798.599924552194
0.03831961139888294       2798.6014785031985
0.038619108542501335      2798.6046873264145
0.038918605686119725      2798.6095510218415
0.03921810282973812       2798.61606958948
0.039517599973356514      2798.611664989564
0.03981709711697491       2798.609304172246
0.0401165942605933        2798.608987137527
0.04041609140421169       2798.610713885406
0.04071558854783009       2798.6144844158844
0.04101508569144848       2798.620298728961
0.04131458283506688       2798.6149944607164
0.04161407997868527       2798.6119051924984
0.04191357712230367       2798.611030924307
0.042213074265922065      2798.6123716561433
0.042512571409540456      2798.6159273880066
0.042812068553158854      2798.621698119897
0.04311156569677725       2798.6161012637467
0.04341106284039565       2798.612800103995
0.04371055998401404       2798.61179464064
0.04401005712763244       2798.613084873682
0.044309554271250835      2798.6166708031224
0.044609051414869226      2798.62255242896
0.044908548558487624      2798.6169573451953
0.045208045702106014      2798.6136999540795
0.045507542845724405      2798.6127802556125
0.045807039989342796      2798.6141982497948
0.04610653713296119       2798.617953936626
0.046406034276579584      2798.6240473161056
0.04670553142019798       2798.618497511601
0.04700502856381638       2798.615096156094
0.04730452570743477       2798.613843249584
