0000 - *CLS             *CLS          :*CLS
0093 - VALue            VAL           [:SENSe]:FREQuency:NULL:VALue
0094 - LOWer?           LOW?          [:SENSe]:FREQuency:RANGe:LOWer?
0095 - LOWer            LOW           [:SENSe]:FREQuency:RANGe:LOWer
0096 - AUTO?            AUTO?         [:SENSe]:FREQuency:VOLTage:RANGe:AUTO?
0097 - AUTO             AUTO          [:SENSe]:FREQuency:VOLTage:RANGe:AUTO
0098 - UPPer?           UPP?          [:SENSe]:FREQuency:VOLTage:RANGe[:UPPer]?
0099 - UPPer            UPP           [:SENSe]:FREQuency:VOLTage:RANGe[:UPPer]
009A - APERture?        APER?         [:SENSe]:FRESistance:APERture?
009B - APERture         APER          [:SENSe]:FRESistance:APERture
009C - ENABled?         ENAB?         [:SENSe]:FRESistance:APERture:ENABled?
009D - ENABled          ENAB          [:SENSe]:FRESistance:APERture:ENABled
009E - NPLCycles?       NPLC?         [:SENSe]:FRESistance:NPLCycles?
009F - NPLCycles        NPLC          [:SENSe]:FRESistance:NPLCycles
00A0 - STATe?           STAT?         [:SENSe]:FRESistance:NULL[:STATe]?
00A1 - STATe            STAT          [:SENSe]:FRESistance:NULL[:STATe]
00A2 - VALue?           VAL?          [:SENSe]:FRESistance:NULL:VALue?
00A3 - VALue            VAL           [:SENSe]:FRESistance:NULL:VALue
00A4 - OCOMpensated     OCOM          [:SENSe]:FRESistance:OCOMpensated
00A5 - OCOMpensated?    OCOM?         [:SENSe]:FRESistance:OCOMpensated?
00A6 - AUTO?            AUTO?         [:SENSe]:FRESistance:RANGe:AUTO?
00A7 - AUTO             AUTO          [:SENSe]:FRESistance:RANGe:AUTO
00A8 - UPPer?           UPP?          [:SENSe]:FRESistance:RANGe[:UPPer]?
00A9 - UPPer            UPP           [:SENSe]:FRESistance:RANGe[:UPPer]
00AA - RESolution?      RES?          [:SENSe]:FRESistance:RESolution?
00AB - RESolution       RES           [:SENSe]:FRESistance:RESolution
00AC - ON?              ON?           [:SENSe]:FUNCtion[:ON]?
00AD - ON               ON            [:SENSe]:FUNCtion[:ON]
00AE - CAPacitance?     CAP?          [:SENSe]:MEASure:CAPacitance?
00AF - CONTinuity?      CONT?         [:SENSe]:MEASure:CONTinuity?
00B0 - AC?              AC?           [:SENSe]:MEASure:CURRent:AC?
00B1 - DC?              DC?           [:SENSe]:MEASure:CURRent[:DC]?
00B2 - DIODe?           DIOD?         [:SENSe]:MEASure:DIODe?
00B3 - FREQuency?       FREQ?         [:SENSe]:MEASure:FREQuency?
00B4 - FRESistance?     FRES?         [:SENSe]:MEASure:FRESistance?
00B5 - PERiod?          PER?          [:SENSe]:MEASure:PERiod?
00B6 - RESistance?      RES?          [:SENSe]:MEASure:RESistance?
00B7 - AC?              AC?           [:SENSe]:MEASure[:VOLTage]:AC?
00B8 - DC?              DC?           [:SENSe]:MEASure[:VOLTage][:DC]?
00B9 - TEMPerature?     TEMP?         [:SENSe]:MEASure:TEMPerature?
00BA - NSTates?         NST?          [:SENSe]:MEMory:NSTates?
00BB - CATalog?         CAT?          [:SENSe]:MEMory:STATe:CATalog?
00BC - DELete           DEL           [:SENSe]:MEMory:STATe:DELete
00BD - ALL              ALL           [:SENSe]:MEMory:STATe:DELete:ALL
00BE - NAME?            NAME?         [:SENSe]:MEMory:STATe:NAME?
00BF - NAME             NAME          [:SENSe]:MEMory:STATe:NAME
00C0 - AUTO?            AUTO?         [:SENSe]:MEMory:STATe:RECall:AUTO?
00C1 - AUTO             AUTO          [:SENSe]:MEMory:STATe:RECall:AUTO
00C2 - SELect?          SEL?          [:SENSe]:MEMory:STATe:RECall:SELect?
00C3 - SELect           SEL           [:SENSe]:MEMory:STATe:RECall:SELect
00C4 - VALid?           VAL?          [:SENSe]:MEMory:STATe:VALid?
00C5 - SLOPe?           SLOP?         [:SENSe]:OUTPut:TRIGger:SLOPe?
